Episodes,Reward,CumReward,Timesteps
0,-23,-23,12
1,-6,-29,8
2,-34,-63,18
3,-16,-79,14
4,-29,-108,18
5,-21,-129,16
6,-12,-141,12
7,-32,-173,19
8,71,-102,16
9,-23,-125,19
10,-26,-151,15
11,-25,-176,13
12,-16,-192,15
13,-13,-205,13
14,-40,-245,23
15,-24,-269,18
16,-10,-279,11
17,-24,-303,19
18,-12,-315,6
19,-19,-334,16
20,-11,-345,12
21,-20,-365,16
22,-1,-366,5
23,-24,-390,19
24,-20,-410,16
25,-28,-438,15
26,-26,-464,14
27,-4,-468,7
28,-16,-484,14
29,-12,-496,12
30,0,-496,5
31,-20,-516,11
32,-7,-523,9
33,-10,-533,10
34,-16,-549,15
35,-6,-555,7
36,-19,-574,16
37,-11,-585,11
38,-3,-588,7
39,-5,-593,8
40,-17,-610,15
41,-20,-630,10
42,-23,-653,12
43,-25,-678,14
44,-3,-681,7
45,0,-681,4
46,-5,-686,7
47,-1,-687,6
48,-9,-696,9
49,-16,-712,14
50,-9,-721,10
51,-14,-735,12
52,86,-649,13
53,-4,-653,7
54,-6,-659,8
55,0,-659,4
56,-18,-677,16
57,-10,-687,10
58,-1,-688,5
59,-2,-690,7
60,-7,-697,9
61,-1,-698,5
62,-10,-708,5
63,-7,-715,8
64,-4,-719,7
65,-7,-726,8
66,-2,-728,5
67,-13,-741,12
68,-2,-743,5
69,-4,-747,7
70,0,-747,4
71,-11,-758,10
72,-15,-773,7
73,-4,-777,8
74,95,-682,8
75,82,-600,15
76,-6,-606,7
77,-4,-610,8
78,-3,-613,7
79,86,-527,13
80,0,-527,4
81,-6,-533,8
82,92,-441,10
83,0,-441,4
84,-2,-443,6
85,-3,-446,6
86,0,-446,4
87,1,-445,4
88,-4,-449,6
89,-2,-451,7
90,-4,-455,7
91,-15,-470,7
92,-7,-477,9
93,0,-477,5
94,-4,-481,6
95,-3,-484,6
96,-2,-486,6
97,-10,-496,9
98,0,-496,4
99,-1,-497,5
100,-13,-510,6
101,-3,-513,6
102,-2,-515,6
103,-4,-519,7
104,-1,-520,5
105,-1,-521,5
106,0,-521,4
107,-2,-523,5
108,-5,-528,7
109,-1,-529,5
110,0,-529,4
111,-10,-539,5
112,77,-462,12
113,-9,-471,4
114,-8,-479,3
115,-2,-481,5
116,-3,-484,6
117,0,-484,5
118,-6,-490,8
119,1,-489,4
120,-4,-493,7
121,-2,-495,5
122,-3,-498,6
123,-1,-499,5
124,0,-499,4
125,-3,-502,6
126,-6,-508,8
127,0,-508,5
128,0,-508,5
129,-17,-525,8
130,95,-430,8
131,0,-430,4
132,-2,-432,5
133,-4,-436,7
134,-9,-445,4
135,-2,-447,5
136,0,-447,4
137,91,-356,10
138,-1,-357,5
139,0,-357,5
140,-2,-359,5
141,-2,-361,5
142,-6,-367,7
143,-2,-369,5
144,-2,-371,6
145,-1,-372,5
146,-7,-379,8
147,-6,-385,8
148,-7,-392,9
149,2,-390,3
150,0,-390,5
151,-6,-396,7
152,-2,-398,5
153,-1,-399,5
154,-15,-414,7
155,-11,-425,5
156,95,-330,8
157,94,-236,8
158,-3,-239,6
159,-6,-245,7
160,-1,-246,5
161,-9,-255,5
162,-4,-259,7
163,-3,-262,6
164,-7,-269,8
165,-3,-272,6
166,-4,-276,6
167,-1,-277,6
168,-2,-279,5
169,97,-182,7
